timestamp,Load Bus 12,BE0 1,BE0 2,BE0 3,BE0 4,BE0 0
2024-01-03 22:00,47.229,49.763,142.823,118.026,38.977,56.97
2024-01-03 23:00,28.505,27.66,85.168,67.448,21.898,32.814
2024-01-04 00:00,6.711,6.802,19.623,16.609,5.287,7.801
2024-01-04 01:00,12.438,12.453,38.729,31.409,9.832,15.23
2024-01-04 02:00,19.116,19.42,56.031,48.149,15.252,22.7
2024-01-04 03:00,24.845,23.94,73.203,60.365,19.331,28.336
2024-01-04 04:00,27.999,28.213,85.607,69.711,21.869,32.786
2024-01-04 05:00,32.496,32.064,97.447,82.366,26.98,40.023
2024-01-04 06:00,43.77,41.905,131.521,108.667,34.656,53.062
2024-01-04 07:00,56.385,57.853,169.478,141.522,46.101,69.806
2024-01-04 08:00,70.6,71.622,212.07,178.164,55.097,82.078
2024-01-04 09:00,72.992,75.037,221.674,189.784,58.921,87.741
2024-01-04 10:00,70.91,71.136,210.059,175.18,56.38,85.144
2024-01-04 11:00,55.427,53.415,169.591,138.066,42.874,67.224
2024-01-04 12:00,38.677,38.337,115.815,94.323,30.728,45.099
2024-01-04 13:00,26.202,26.249,80.975,65.432,21.276,32.136
2024-01-04 14:00,23.629,23.36,70.186,58.651,19.406,27.574
2024-01-04 15:00,32.363,31.959,94.654,79.04,25.541,37.401
2024-01-04 16:00,50.565,51.447,154.791,127.929,39.879,59.451
2024-01-04 17:00,73.05,71.347,219.205,184.243,56.855,86.12
2024-01-04 18:00,93.644,93.908,283.498,227.442,73.23,111.524
2024-01-04 19:00,101.543,99.886,295.034,249.804,80.709,116.788
2024-01-04 20:00,92.743,90.45,283.644,232.392,73.8,112.167
2024-01-04 21:00,73.423,74.565,221.981,179.358,58.105,86.202
2024-01-04 22:00,48.843,49.506,145.392,120.348,38.403,59.364
2024-01-04 23:00,27.357,28.081,81.421,71.405,22.447,33.48
2024-01-05 00:00,6.572,6.683,19.807,16.625,5.135,7.998
2024-01-05 01:00,12.589,12.663,38.777,31.59,10.041,15.213
2024-01-05 02:00,19.05,18.624,57.856,47.131,15.762,22.733
2024-01-05 03:00,24.415,24.729,71.212,62.207,19.489,29.301
2024-01-05 04:00,27.865,27.45,82.248,71.466,22.889,33.904
2024-01-05 05:00,33.792,33.18,98.884,81.374,26.788,40.312
2024-01-05 06:00,42.896,43.497,128.58,105.694,35.279,51.854
2024-01-05 07:00,56.789,57.163,174.441,143.512,45.893,67.447
2024-01-05 08:00,71.736,71.043,212.434,176.766,56.677,83.632
2024-01-05 09:00,74.932,76.821,223.497,187.778,60.584,89.681
2024-01-05 10:00,69.057,70.759,212.323,177.97,54.084,83.77
2024-01-05 11:00,53.47,56.241,167.378,136.74,44.626,67.057
2024-01-05 12:00,38.006,39.419,113.856,98.913,31.638,46.662
2024-01-05 13:00,25.829,27.216,78.746,65.966,21.796,31.976
2024-01-05 14:00,23.099,24.208,72.237,58.464,18.863,28.794
2024-01-05 15:00,32.201,32.59,97.942,80.317,25.037,38.797
2024-01-05 16:00,50.177,49.607,151.584,122.902,39.52,58.961
2024-01-05 17:00,71.46,74.112,224.064,185.567,60.027,87.97
2024-01-05 18:00,91.301,94.724,278.081,227.822,75.734,112.573
2024-01-05 19:00,99.253,101.429,294.278,251.897,81.347,121.457
2024-01-05 20:00,92.485,91.64,280.605,230.035,76.022,112.624
2024-01-05 21:00,74.555,72.232,220.536,186.027,58.806,86.742
2024-01-05 22:00,49.018,49.644,146.237,122.577,37.965,60.051
2024-01-05 23:00,27.938,28.606,84.811,70.398,22.39,33.336
2024-01-06 00:00,5.331,5.387,15.444,13.153,4.149,6.154
2024-01-06 01:00,9.972,10.089,30.952,25.586,8.243,11.897
2024-01-06 02:00,15.145,14.948,45.862,38.886,12.482,18.064
2024-01-06 03:00,19.59,19.768,56.506,46.961,15.388,22.817
2024-01-06 04:00,21.681,22.308,65.7,55.796,17.946,26.196
2024-01-06 05:00,26.499,26.2,79.265,65.956,21.343,32.295
2024-01-06 06:00,35.231,35.175,103.395,84.323,27.071,40.69
2024-01-06 07:00,45.724,45.681,135.668,113.502,36.55,53.498
2024-01-06 08:00,55.441,54.541,165.298,142.633,44.376,67.381
2024-01-06 09:00,59.184,60.356,176.983,147.363,49.562,73.746
2024-01-06 10:00,56.88,56.713,162.169,142.071,43.976,66.383
2024-01-06 11:00,43.788,43.317,135.875,113.314,34.647,54.275
2024-01-06 12:00,30.048,30.992,90.523,77.866,24.071,37.739
2024-01-06 13:00,20.925,21.275,64.626,53.603,17.428,25.615
2024-01-06 14:00,19.015,18.737,56.333,46.463,14.976,22.232
2024-01-06 15:00,25.844,25.941,76.468,65.67,20.174,30.278
2024-01-06 16:00,39.013,40.216,117.261,102.481,32.473,48.027
2024-01-06 17:00,57.703,56.708,178.092,142.399,46.89,68.952
2024-01-06 18:00,74.392,73.137,217.469,184.038,57.688,91.233
2024-01-06 19:00,78.984,79.592,245.699,195.286,63.234,97.583
2024-01-06 20:00,72.191,71.936,219.078,188.036,59.544,87.903
2024-01-06 21:00,59.442,59.097,179.235,145.094,45.858,69.297
2024-01-06 22:00,38.837,40.035,114.817,100.153,31.563,47.652
2024-01-06 23:00,21.829,21.804,66.884,53.951,17.618,26.139
2024-01-07 00:00,5.406,5.317,16.145,13.607,4.14,6.503
2024-01-07 01:00,10.055,9.768,30.681,25.491,7.835,11.8
2024-01-07 02:00,14.852,15.725,45.114,37.587,12.211,18.709
2024-01-07 03:00,19.598,19.583,57.758,48.781,15.347,23.124
2024-01-07 04:00,21.815,22.869,67.353,54.142,18.202,26.163
2024-01-07 05:00,26.08,27.013,79.098,65.087,21.644,30.934
2024-01-07 06:00,35.182,34.818,101.358,87.327,27.843,41.242
2024-01-07 07:00,46.578,44.354,136.63,115.284,35.812,54.873
2024-01-07 08:00,55.548,54.86,169.114,143.121,44.944,68.558
2024-01-07 09:00,60.255,59.955,180.847,151.251,48.053,71.556
2024-01-07 10:00,57.017,54.54,167.83,140.461,43.673,66.35
2024-01-07 11:00,45.146,43.409,132.159,113.376,34.579,53.462
2024-01-07 12:00,31.301,30.477,92.799,75.84,23.903,36.135
2024-01-07 13:00,20.781,21.419,61.731,52.284,17.395,24.648
2024-01-07 14:00,19.172,18.594,55.733,48.349,15.504,22.203
2024-01-07 15:00,26.295,25.18,76.063,63.961,20.48,30.752
2024-01-07 16:00,39.493,41.277,117.689,97.757,31.399,47.948
2024-01-07 17:00,59.16,58.384,171.203,150.297,46.407,71.874
2024-01-07 18:00,73.4,72.317,228.31,180.035,58.386,90.002
2024-01-07 19:00,80.95,77.728,237.058,198.846,64.679,96.061
2024-01-07 20:00,71.691,72.375,221.334,183.08,58.046,86.351
2024-01-07 21:00,56.655,58.397,174.785,145.303,47.572,70.307
2024-01-07 22:00,38.301,39.694,114.454,98.031,31.18,47.753
2024-01-07 23:00,21.598,22.857,67.136,55.743,17.325,26.926
